team_pk,team_name,level_1_name,level_2_name,level_3_name,level_4_name,level_5_name,level_6_name,level_7_name
29,Eisenhower,Thomas Anderson,David Park,Michael Chen,Elizabeth Johnson,Robert Anderson,,
30,MacArthur,Thomas Anderson,David Park,Michael Chen,Elizabeth Johnson,Robert Anderson,,
31,Alaska,Jennifer Lee,David Park,Michael Chen,Elizabeth Johnson,Robert Anderson,,
32,Hawaii,Jennifer Lee,David Park,Michael Chen,Elizabeth Johnson,Robert Anderson,,
33,Texas,Jennifer Lee,David Park,Michael Chen,Elizabeth Johnson,Robert Anderson,,
34,Defiant,Ryan Taylor,Sarah Williams,Michael Chen,Elizabeth Johnson,Robert Anderson,,
35,Voyager,Ryan Taylor,Sarah Williams,Michael Chen,Elizabeth Johnson,Robert Anderson,,
36,Hood,Amanda Garcia,Sarah Williams,Michael Chen,Elizabeth Johnson,Robert Anderson,,
37,Tirpitz,Amanda Garcia,Sarah Williams,Michael Chen,Elizabeth Johnson,Robert Anderson,,
38,Lincoln,Kevin Brown,Sarah Williams,Michael Chen,Elizabeth Johnson,Robert Anderson,,
39,Truman,Kevin Brown,Sarah Williams,Michael Chen,Elizabeth Johnson,Robert Anderson,,
40,Bush,Kevin Brown,Sarah Williams,Michael Chen,Elizabeth Johnson,Robert Anderson,,
41,Challenger,Nicole Wilson,Chris Davis,Lisa Martinez,Elizabeth Johnson,Robert Anderson,,
42,Columbia,Nicole Wilson,Chris Davis,Lisa Martinez,Elizabeth Johnson,Robert Anderson,,
43,Denali,Brian Kim,Chris Davis,Lisa Martinez,Elizabeth Johnson,Robert Anderson,,
44,Aconcagua,Brian Kim,Chris Davis,Lisa Martinez,Elizabeth Johnson,Robert Anderson,,
45,Simpson,Jessica Adams,Chris Davis,Lisa Martinez,Elizabeth Johnson,Robert Anderson,,
46,Griffin,Jessica Adams,Chris Davis,Lisa Martinez,Elizabeth Johnson,Robert Anderson,,
47,Arches,Stephanie Lee,Mark Thompson,Lisa Martinez,Elizabeth Johnson,Robert Anderson,,
48,Sequoia,Stephanie Lee,Mark Thompson,Lisa Martinez,Elizabeth Johnson,Robert Anderson,,
49,California,Daniel White,Mark Thompson,Lisa Martinez,Elizabeth Johnson,Robert Anderson,,
50,Florida,Daniel White,Mark Thompson,Lisa Martinez,Elizabeth Johnson,Robert Anderson,,
51,Intrepid,Maria Clark,Mark Thompson,Lisa Martinez,Elizabeth Johnson,Robert Anderson,,
52,Prometheus,Maria Clark,Mark Thompson,Lisa Martinez,Elizabeth Johnson,Robert Anderson,,
53,Sovereign,Maria Clark,Mark Thompson,Lisa Martinez,Elizabeth Johnson,Robert Anderson,,
54,Comanche,Chris Johnson,Alex Rodriguez,Jennifer Taylor,Robert Smith,Robert Anderson,,
55,Lakota,Chris Johnson,Alex Rodriguez,Jennifer Taylor,Robert Smith,Robert Anderson,,
56,Sherman,Rachel Martinez,Alex Rodriguez,Jennifer Taylor,Robert Smith,Robert Anderson,,
57,Bradley,Rachel Martinez,Alex Rodriguez,Jennifer Taylor,Robert Smith,Robert Anderson,,
58,New York,Kevin Davis,Alex Rodriguez,Jennifer Taylor,Robert Smith,Robert Anderson,,
59,Illinois,Kevin Davis,Alex Rodriguez,Jennifer Taylor,Robert Smith,Robert Anderson,,
60,Excelsior,Amanda Wilson,Lisa Brown,Jennifer Taylor,Robert Smith,Robert Anderson,,
61,Constellation,Amanda Wilson,Lisa Brown,Jennifer Taylor,Robert Smith,Robert Anderson,,
62,Scharnhorst,Brian Garcia,Lisa Brown,Jennifer Taylor,Robert Smith,Robert Anderson,,
63,Gneisenau,Brian Garcia,Lisa Brown,Jennifer Taylor,Robert Smith,Robert Anderson,,
64,Reagan,Jessica Kim,Lisa Brown,Jennifer Taylor,Robert Smith,Robert Anderson,,
65,Ford,Jessica Kim,Lisa Brown,Jennifer Taylor,Robert Smith,Robert Anderson,,
66,Endeavour,Nicole Adams,David Lee,Michael White,Robert Smith,Robert Anderson,,
67,Atlantis,Nicole Adams,David Lee,Michael White,Robert Smith,Robert Anderson,,
68,Vinson,Thomas Martinez,David Lee,Michael White,Robert Smith,Robert Anderson,,
69,Elbrus,Thomas Martinez,David Lee,Michael White,Robert Smith,Robert Anderson,,
70,Belcher,Jennifer Clark,David Lee,Michael White,Robert Smith,Robert Anderson,,
71,Smith,Jennifer Clark,David Lee,Michael White,Robert Smith,Robert Anderson,,
72,Glacier,Stephanie Brown,Mark Johnson,Michael White,Robert Smith,Robert Anderson,,
73,Olympic,Stephanie Brown,Mark Johnson,Michael White,Robert Smith,Robert Anderson,,
74,Pennsylvania,Daniel Garcia,Mark Johnson,Michael White,Robert Smith,Robert Anderson,,
75,Ohio,Daniel Garcia,Mark Johnson,Michael White,Robert Smith,Robert Anderson,,
76,Michigan,Daniel Garcia,Mark Johnson,Michael White,Robert Smith,Robert Anderson,,
77,Akira,Maria Kim,Mark Johnson,Michael White,Robert Smith,Robert Anderson,,
78,Nebula,Maria Kim,Mark Johnson,Michael White,Robert Smith,Robert Anderson,,
